time,event,event_type,process,device,ready_queue,wait_queue,cpus,ios
15,1 added to ready queue,enqueue,1,,['1'],[],[None],[None]
15,1 dispatched to CPU0,dispatch_cpu,1,CPU0,[],[],['1'],[None]
18,1 preempted (RR quantum expired),preempt_cpu,1,CPU0,['1'],[],[None],[None]
18,1 dispatched to CPU0,dispatch_cpu,1,CPU0,[],[],['1'],[None]
20,1 finished CPU → ready queue,cpu_to_ready,1,CPU0,['1'],[],[None],[None]
20,1 dispatched to CPU0,dispatch_cpu,1,CPU0,[],[],['1'],[None]
23,1 preempted (RR quantum expired),preempt_cpu,1,CPU0,['1'],[],[None],[None]
23,1 dispatched to CPU0,dispatch_cpu,1,CPU0,[],[],['1'],[None]
26,1 preempted (RR quantum expired),preempt_cpu,1,CPU0,['1'],[],[None],[None]
26,1 dispatched to CPU0,dispatch_cpu,1,CPU0,[],[],['1'],[None]
29,1 preempted (RR quantum expired),preempt_cpu,1,CPU0,['1'],[],[None],[None]
29,1 dispatched to CPU0,dispatch_cpu,1,CPU0,[],[],['1'],[None]
31,2 added to ready queue,enqueue,2,,['2'],[],['1'],[None]
32,1 preempted (RR quantum expired),preempt_cpu,1,CPU0,"['2', '1']",[],[None],[None]
32,2 dispatched to CPU0,dispatch_cpu,2,CPU0,['1'],[],['2'],[None]
35,2 finished CPU → wait queue,cpu_to_io,2,CPU0,['1'],['2'],[None],[None]
35,1 dispatched to CPU0,dispatch_cpu,1,CPU0,[],['2'],['1'],[None]
35,2 dispatched to IO0,dispatch_io,2,IO0,[],[],['1'],['2']
37,2 finished I/O → ready queue,io_to_ready,2,IO0,['2'],[],['1'],[None]
38,1 preempted (RR quantum expired),preempt_cpu,1,CPU0,"['2', '1']",[],[None],[None]
38,2 dispatched to CPU0,dispatch_cpu,2,CPU0,['1'],[],['2'],[None]
41,2 preempted (RR quantum expired),preempt_cpu,2,CPU0,"['1', '2']",[],[None],[None]
41,1 dispatched to CPU0,dispatch_cpu,1,CPU0,['2'],[],['1'],[None]
42,3 added to ready queue,enqueue,3,,"['2', '3']",[],['1'],[None]
44,1 preempted (RR quantum expired),preempt_cpu,1,CPU0,"['2', '3', '1']",[],[None],[None]
44,2 dispatched to CPU0,dispatch_cpu,2,CPU0,"['3', '1']",[],['2'],[None]
46,2 finished CPU → wait queue,cpu_to_io,2,CPU0,"['3', '1']",['2'],[None],[None]
46,3 dispatched to CPU0,dispatch_cpu,3,CPU0,['1'],['2'],['3'],[None]
46,2 dispatched to IO0,dispatch_io,2,IO0,['1'],[],['3'],['2']
49,3 preempted (RR quantum expired),preempt_cpu,3,CPU0,"['1', '3']",[],[None],['2']
49,1 dispatched to CPU0,dispatch_cpu,1,CPU0,['3'],[],['1'],['2']
51,1 finished CPU → ready queue,cpu_to_ready,1,CPU0,"['3', '1']",[],[None],['2']
51,3 dispatched to CPU0,dispatch_cpu,3,CPU0,['1'],[],['3'],['2']
53,3 finished CPU → wait queue,cpu_to_io,3,CPU0,['1'],['3'],[None],['2']
53,1 dispatched to CPU0,dispatch_cpu,1,CPU0,[],['3'],['1'],['2']
54,2 finished I/O → ready queue,io_to_ready,2,IO0,['2'],['3'],['1'],[None]
54,3 dispatched to IO0,dispatch_io,3,IO0,['2'],[],['1'],['3']
55,4 added to ready queue,enqueue,4,,"['2', '4']",[],['1'],['3']
56,1 preempted (RR quantum expired),preempt_cpu,1,CPU0,"['2', '4', '1']",[],[None],['3']
56,2 dispatched to CPU0,dispatch_cpu,2,CPU0,"['4', '1']",[],['2'],['3']
59,2 preempted (RR quantum expired),preempt_cpu,2,CPU0,"['4', '1', '2']",[],[None],['3']
59,4 dispatched to CPU0,dispatch_cpu,4,CPU0,"['1', '2']",[],['4'],['3']
