time,event,event_type,process,device,ready_queue,wait_queue,cpus,ios
1,2 added to ready queue,enqueue,2,,['2'],[],"[None, None]","[None, None]"
1,4 added to ready queue,enqueue,4,,"['2', '4']",[],"[None, None]","[None, None]"
1,2 dispatched to CPU0,dispatch_cpu,2,CPU0,['4'],[],"['2', None]","[None, None]"
1,4 dispatched to CPU1,dispatch_cpu,4,CPU1,[],[],"['2', '4']","[None, None]"
6,2 finished CPU → ready queue,cpu_to_ready,2,CPU0,['2'],[],"[None, '4']","[None, None]"
6,2 dispatched to CPU0,dispatch_cpu,2,CPU0,[],[],"['2', '4']","[None, None]"
8,4 finished CPU → ready queue,cpu_to_ready,4,CPU1,['4'],[],"['2', None]","[None, None]"
8,4 dispatched to CPU1,dispatch_cpu,4,CPU1,[],[],"['2', '4']","[None, None]"
9,2 finished CPU → ready queue,cpu_to_ready,2,CPU0,['2'],[],"[None, '4']","[None, None]"
9,2 dispatched to CPU0,dispatch_cpu,2,CPU0,[],[],"['2', '4']","[None, None]"
11,4 finished CPU → ready queue,cpu_to_ready,4,CPU1,['4'],[],"['2', None]","[None, None]"
11,4 dispatched to CPU1,dispatch_cpu,4,CPU1,[],[],"['2', '4']","[None, None]"
13,2 finished CPU → wait queue,cpu_to_io,2,CPU0,[],['2'],"[None, '4']","[None, None]"
13,2 dispatched to IO0,dispatch_io,2,IO0,[],[],"[None, '4']","['2', None]"
15,4 finished CPU → ready queue,cpu_to_ready,4,CPU1,['4'],[],"[None, None]","['2', None]"
15,4 dispatched to CPU0,dispatch_cpu,4,CPU0,[],[],"['4', None]","['2', None]"
18,2 finished I/O → ready queue,io_to_ready,2,IO0,['2'],[],"['4', None]","[None, None]"
18,2 dispatched to CPU1,dispatch_cpu,2,CPU1,[],[],"['4', '2']","[None, None]"
19,3 added to ready queue,enqueue,3,,['3'],[],"['4', '2']","[None, None]"
21,4 finished CPU → wait queue,cpu_to_io,4,CPU0,['3'],['4'],"[None, '2']","[None, None]"
21,2 finished CPU → wait queue,cpu_to_io,2,CPU1,['3'],"['4', '2']","[None, None]","[None, None]"
21,3 dispatched to CPU0,dispatch_cpu,3,CPU0,[],"['4', '2']","['3', None]","[None, None]"
21,4 dispatched to IO0,dispatch_io,4,IO0,[],['2'],"['3', None]","['4', None]"
21,2 dispatched to IO1,dispatch_io,2,IO1,[],[],"['3', None]","['4', '2']"
26,2 finished I/O → ready queue,io_to_ready,2,IO1,['2'],[],"['3', None]","['4', None]"
26,2 dispatched to CPU1,dispatch_cpu,2,CPU1,[],[],"['3', '2']","['4', None]"
28,2 finished all bursts,finished,2,CPU1,[],[],"['3', None]","['4', None]"
29,3 finished CPU → ready queue,cpu_to_ready,3,CPU0,['3'],[],"[None, None]","['4', None]"
29,3 dispatched to CPU0,dispatch_cpu,3,CPU0,[],[],"['3', None]","['4', None]"
34,3 finished CPU → ready queue,cpu_to_ready,3,CPU0,['3'],[],"[None, None]","['4', None]"
34,3 dispatched to CPU0,dispatch_cpu,3,CPU0,[],[],"['3', None]","['4', None]"
35,7 added to ready queue,enqueue,7,,['7'],[],"['3', None]","['4', None]"
35,7 dispatched to CPU1,dispatch_cpu,7,CPU1,[],[],"['3', '7']","['4', None]"
