time,event,event_type,process,device,ready_queue,wait_queue,cpus,ios
118,9 finished I/O → ready queue,io_to_ready,9,IO0,"['2', '9']","['8', '10', '7']","['3', '1']","[None, '4']"
118,8 dispatched to IO0,dispatch_io,8,IO0,"['2', '9']","['10', '7']","['3', '1']","['8', '4']"
119,3 finished CPU → wait queue,cpu_to_io,3,CPU0,"['2', '9']","['10', '7', '3']","[None, '1']","['8', '4']"
119,2 dispatched to CPU0,dispatch_cpu,2,CPU0,['9'],"['10', '7', '3']","['2', '1']","['8', '4']"
121,1 finished CPU → wait queue,cpu_to_io,1,CPU1,['9'],"['10', '7', '3', '1']","['2', None]","['8', '4']"
121,9 dispatched to CPU1,dispatch_cpu,9,CPU1,[],"['10', '7', '3', '1']","['2', '9']","['8', '4']"
124,2 finished CPU → ready queue,cpu_to_ready,2,CPU0,['2'],"['10', '7', '3', '1']","[None, '9']","['8', '4']"
124,2 dispatched to CPU0,dispatch_cpu,2,CPU0,[],"['10', '7', '3', '1']","['2', '9']","['8', '4']"
125,9 finished CPU → wait queue,cpu_to_io,9,CPU1,[],"['10', '7', '3', '1', '9']","['2', None]","['8', '4']"
128,2 finished CPU → ready queue,cpu_to_ready,2,CPU0,['2'],"['10', '7', '3', '1', '9']","[None, None]","['8', '4']"
128,2 dispatched to CPU0,dispatch_cpu,2,CPU0,[],"['10', '7', '3', '1', '9']","['2', None]","['8', '4']"
130,2 finished all bursts,finished,2,CPU0,[],"['10', '7', '3', '1', '9']","[None, None]","['8', '4']"
136,8 finished I/O → ready queue,io_to_ready,8,IO0,['8'],"['10', '7', '3', '1', '9']","[None, None]","[None, '4']"
136,8 dispatched to CPU0,dispatch_cpu,8,CPU0,[],"['10', '7', '3', '1', '9']","['8', None]","[None, '4']"
136,10 dispatched to IO0,dispatch_io,10,IO0,[],"['7', '3', '1', '9']","['8', None]","['10', '4']"
138,8 finished CPU → wait queue,cpu_to_io,8,CPU0,[],"['7', '3', '1', '9', '8']","[None, None]","['10', '4']"
139,4 finished I/O → ready queue,io_to_ready,4,IO1,['4'],"['7', '3', '1', '9', '8']","[None, None]","['10', None]"
139,4 dispatched to CPU0,dispatch_cpu,4,CPU0,[],"['7', '3', '1', '9', '8']","['4', None]","['10', None]"
139,7 dispatched to IO1,dispatch_io,7,IO1,[],"['3', '1', '9', '8']","['4', None]","['10', '7']"
149,4 finished CPU → ready queue,cpu_to_ready,4,CPU0,['4'],"['3', '1', '9', '8']","[None, None]","['10', '7']"
149,4 dispatched to CPU0,dispatch_cpu,4,CPU0,[],"['3', '1', '9', '8']","['4', None]","['10', '7']"
156,7 finished I/O → ready queue,io_to_ready,7,IO1,['7'],"['3', '1', '9', '8']","['4', None]","['10', None]"
156,7 dispatched to CPU1,dispatch_cpu,7,CPU1,[],"['3', '1', '9', '8']","['4', '7']","['10', None]"
156,3 dispatched to IO1,dispatch_io,3,IO1,[],"['1', '9', '8']","['4', '7']","['10', '3']"
159,4 finished CPU → wait queue,cpu_to_io,4,CPU0,[],"['1', '9', '8', '4']","[None, '7']","['10', '3']"
160,10 finished I/O → ready queue,io_to_ready,10,IO0,['10'],"['1', '9', '8', '4']","[None, '7']","[None, '3']"
160,10 dispatched to CPU0,dispatch_cpu,10,CPU0,[],"['1', '9', '8', '4']","['10', '7']","[None, '3']"
160,1 dispatched to IO0,dispatch_io,1,IO0,[],"['9', '8', '4']","['10', '7']","['1', '3']"
163,7 finished CPU → ready queue,cpu_to_ready,7,CPU1,['7'],"['9', '8', '4']","['10', None]","['1', '3']"
163,7 dispatched to CPU1,dispatch_cpu,7,CPU1,[],"['9', '8', '4']","['10', '7']","['1', '3']"
