time,event,event_type,process,device,ready_queue,wait_queue,cpus,ios
4,1 added to ready queue,enqueue,1,,['1'],[],[None],[None]
4,1 dispatched to CPU0,dispatch_cpu,1,CPU0,[],[],['1'],[None]
8,1 finished CPU → ready queue,cpu_to_ready,1,CPU0,['1'],[],[None],[None]
8,1 dispatched to CPU0,dispatch_cpu,1,CPU0,[],[],['1'],[None]
11,1 finished CPU → ready queue,cpu_to_ready,1,CPU0,['1'],[],[None],[None]
11,1 dispatched to CPU0,dispatch_cpu,1,CPU0,[],[],['1'],[None]
12,2 added to ready queue,enqueue,2,,['2'],[],['1'],[None]
15,1 finished CPU → wait queue,cpu_to_io,1,CPU0,['2'],['1'],[None],[None]
15,2 dispatched to CPU0,dispatch_cpu,2,CPU0,[],['1'],['2'],[None]
15,1 dispatched to IO0,dispatch_io,1,IO0,[],[],['2'],['1']
18,1 finished I/O → ready queue,io_to_ready,1,IO0,['1'],[],['2'],[None]
21,2 finished CPU → ready queue,cpu_to_ready,2,CPU0,"['1', '2']",[],[None],[None]
21,1 dispatched to CPU0,dispatch_cpu,1,CPU0,['2'],[],['1'],[None]
22,3 added to ready queue,enqueue,3,,"['2', '3']",[],['1'],[None]
25,1 finished CPU → ready queue,cpu_to_ready,1,CPU0,"['2', '3', '1']",[],[None],[None]
25,2 dispatched to CPU0,dispatch_cpu,2,CPU0,"['3', '1']",[],['2'],[None]
28,2 finished CPU → wait queue,cpu_to_io,2,CPU0,"['3', '1']",['2'],[None],[None]
28,3 dispatched to CPU0,dispatch_cpu,3,CPU0,['1'],['2'],['3'],[None]
28,2 dispatched to IO0,dispatch_io,2,IO0,['1'],[],['3'],['2']
31,2 finished I/O → ready queue,io_to_ready,2,IO0,"['1', '2']",[],['3'],[None]
32,3 finished CPU → wait queue,cpu_to_io,3,CPU0,"['1', '2']",['3'],[None],[None]
32,1 dispatched to CPU0,dispatch_cpu,1,CPU0,['2'],['3'],['1'],[None]
32,3 dispatched to IO0,dispatch_io,3,IO0,['2'],[],['1'],['3']
34,1 finished CPU → ready queue,cpu_to_ready,1,CPU0,"['2', '1']",[],[None],['3']
34,2 dispatched to CPU0,dispatch_cpu,2,CPU0,['1'],[],['2'],['3']
36,3 finished I/O → ready queue,io_to_ready,3,IO0,"['1', '3']",[],['2'],[None]
38,2 finished CPU → wait queue,cpu_to_io,2,CPU0,"['1', '3']",['2'],[None],[None]
38,1 dispatched to CPU0,dispatch_cpu,1,CPU0,['3'],['2'],['1'],[None]
38,2 dispatched to IO0,dispatch_io,2,IO0,['3'],[],['1'],['2']
42,4 added to ready queue,enqueue,4,,"['3', '4']",[],['1'],['2']
42,1 finished all bursts,finished,1,CPU0,"['3', '4']",[],[None],['2']
42,2 finished I/O → ready queue,io_to_ready,2,IO0,"['3', '4', '2']",[],[None],[None]
42,3 dispatched to CPU0,dispatch_cpu,3,CPU0,"['4', '2']",[],['3'],[None]
47,3 finished CPU → wait queue,cpu_to_io,3,CPU0,"['4', '2']",['3'],[None],[None]
47,4 dispatched to CPU0,dispatch_cpu,4,CPU0,['2'],['3'],['4'],[None]
47,3 dispatched to IO0,dispatch_io,3,IO0,['2'],[],['4'],['3']
48,5 added to ready queue,enqueue,5,,"['2', '5']",[],['4'],['3']
48,6 added to ready queue,enqueue,6,,"['2', '5', '6']",[],['4'],['3']
